claim_id	group	exact_claim	validity	novelty	formalization	validation	endpoint_basis	endpoint_count	boundary
G008	EXPANDED	Odd-quotient capacity diameter-12 boundary and signed merges	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G008	8	Actual quotient routes
G009	EXPANDED	Joint signed-cut-flow iff and total -4 specialization	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G009	2	Actual rooted data
G010	EXPANDED	Exact named three-port median guard	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G010	5	Named median only
G011	EXPANDED	Parity multicut rearrangement and signed second moment -11781	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G011	9	Necessary structure
G012	EXPANDED	Allowed-rank sets capacitated Hall iff and shared tails	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G012	32	Abstract-slot Hall scope
G013	EXPANDED	Same-color injection above q2 and sharp G cap	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G013	5	Necessary quotient profile
G014	EXPANDED	H companion caps equality path/port and modulo truncation	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G014	3	Only modulo-X^t truncation
G015	EXPANDED	Exactly-two-odd q at most 10 q not 7 and distinct-port q at most 6	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G015	10	Exactly-two-odd scope
G016	EXPANDED	Common-middle-port obstruction for n at least 36 and parity-order families	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G016	10	No arbitrary-port global exclusion
G017	EXPANDED	Block-lift gadget and 153-form obstruction/reduction package	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G017	11	Named architectures
G018	EXPANDED	No positive-integral odd complete-rooted-star-block lift for odd q greater than 1	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G018	4	Exact architecture only
G019	EXPANDED	Scalar Gaussian certificates for component counts 4 through 18	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G019	4	Scalar-only; no tree realization
G020	EXPANDED	Three-anchor coordinates and named-median parent reconstruction	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G020	4	Scoped converse only
G021	EXPANDED	OpenMultiport three-odd actual realization and unique optional-parent master	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G021	7	OpenMultiport branch only
G022	EXPANDED	Actual four-odd quotient relabeling to P5 fork or star and explicit K-form target	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G022	9	No census or feasibility conclusion
G023	EXPANDED	Conditional q67/q66 atoms A through H with corrected ranges	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G023	52	Conditional atoms only
G024	EXPANDED	Counterexamples to reversed below-q2 marginal-flow gluing and histogram determination	V	N1	FORMALIZED_EXACT	VALIDATION_003_KERNEL_PASS	expanded:G024	20	Counterexample scope only
C001	COMPUTATIONAL	Order-18 25 <= Q <= 68	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C001	0	Strict complete dual validation absent
C002	COMPUTATIONAL	Order-18 3 <= r <= 15 with r16 frontier	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C002	0	Strict complete dual validation absent
C003	COMPUTATIONAL	Distinct-port q5/q6 and order-25 two-odd chain	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C003	0	No complete dual-bound union
C004	COMPUTATIONAL	720 three-odd models and ten masters	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C004	0	Solver gates UNKNOWN
C005	COMPUTATIONAL	Four-odd censuses and fifteen profile exclusions	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C005	0	No complete dual certificate
C006	COMPUTATIONAL	Common-center K1,k assignment exclusions	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C006	0	No dual spectrum binding
C007	COMPUTATIONAL	314330 rooted profiles and 11179 cut histograms	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C007	0	No dual strict validators
C008	COMPUTATIONAL	Seven terminal weight-21 children of named root	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C008	0	No dual strict validators
C009	COMPUTATIONAL	Named six-P3 seed and branch closures	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C009	0	Union incomplete
C010	COMPUTATIONAL	Q19 through Q24 terminal union	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C010	0	Second strict implementation absent
C011	COMPUTATIONAL	Q69+ seven-domain chain	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C011	0	Dual binding absent
C012	COMPUTATIONAL	4096 four-rooted-order-4-block instances excluded	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C012	0	Exact source/domain rebind absent
C013	COMPUTATIONAL	Named topology prefix suffix and local closures	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C013	0	No unified exact domain
C014	COMPUTATIONAL	n36 P3 mod6 and fixed mod20 nonliftability	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C014	0	Narrow finite evidence only
C015	COMPUTATIONAL	Residue-weighted q5 rooted-isomorphism orbit	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C015	0	Not dual-bound
C016	COMPUTATIONAL	Named n49 complete-block closures	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C016	0	Limited domains
C017	COMPUTATIONAL	Two-port recurrence through component order 9	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C017	0	Table is not dual validation
C018	COMPUTATIONAL	Compiled/reference signature-stream equality	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C018	0	Implementation fact not exclusion
C019	COMPUTATIONAL	Repeated-q7 and qg3 signing/prefix deaths	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C019	0	Limited closures
C020	COMPUTATIONAL	V14 census and six partial shards	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C020	0	Interrupted union
C021	COMPUTATIONAL	Q25 joint/chain relations and partial intervals	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C021	0	No complete closure
C022	COMPUTATIONAL	Order-38 n49 support and nonseparability restrictions	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	computational:C022	0	Atomization and strict rebind absent
H1	HOLD	Balanced weight-67 and 66 exploratory algebra	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	hold:H1	0	Interrupted classification
H2	HOLD	Unique-largest order-18 9-67 branch	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	hold:H2	0	Proof-critical terminal absent
H3	HOLD	Odd-quotient realization converse	U	N1	NOT_FORMALIZED	NO_KERNEL_CREDIT	hold:H3	0	Forward representation only
P0	OPEN	Original n >= 18 existence or universal nonexistence problem	OPEN	N1	OUTSIDE_THEOREM_CREDIT	NO_KERNEL_CREDIT	open:P0	0	No witness and no universal obstruction
